time,latitude,longitude,altitude,cardinal_angle,elevation_angle,segment_distance
395.18335210467507,-12.442441297193133,130.85334251203466,17.588310546258402,29.123942056668398,-0.1435529271024891,5428.454894020579
598.7181729823217,-12.436634873944332,130.8969461629993,14.354782995031549,82.23945294668079,-0.03346110299801,5536.800761556791
805.8203370628721,-12.455940267003,130.94199992747366,35.312645021478694,113.69717492135345,0.2123784637638618,5654.017459851554
1010.8913936615602,-12.4720043547264,130.98911484825732,36.231575979476936,109.253521217056,0.0094729052022892,5558.048344530024
1220.0040010361572,-12.507333621443667,131.02304844247735,45.118006780289775,136.84319276576326,0.0890720388707946,5716.21101418703
1422.0658232119592,-12.5427388772868,131.059615321984,38.55943388169479,134.76916258775833,-0.0653533804277385,5749.945623182364
1631.9460292292292,-12.5905306292409,131.07361632894336,22.75433160660839,164.04414873536962,-0.1546305684836291,5856.302964057704
1849.359509354564,-12.643047701220269,131.07560341406463,51.45036078112631,177.8856294201545,0.2791020526625574,5890.850102927683
2061.4356881216763,-12.6953888944366,131.08427892373467,55.27633457699379,170.8149684249587,0.0371327374396856,5903.473200591451
2269.307007643925,-12.746866166220132,131.09586714883932,53.554988300781176,167.6163934908176,-0.0166270975837041,5931.634997777588
2473.5534049017715,-12.792188003287531,131.11988618262737,51.343080047213874,152.67009204087913,-0.0217929601212975,5815.318377245
2681.724020897503,-12.8404950992703,131.13587909957369,54.58937611913314,162.11068320274876,0.0315938200811872,5887.197073392621
2888.840398529773,-12.891590239712498,131.14045345130603,68.89584702578364,175.01246179852114,0.1408357617128104,5820.245808535193
3103.845006640495,-12.941024404683498,131.1267683025163,97.26291486114962,195.0990333359685,0.2746489352050233,5917.739364715502
3316.596737553667,-12.991642806823863,131.11888461093866,56.47263136492839,188.62939037799632,-0.3997701373423569,5846.042376239836
3529.059389806437,-13.041739378304769,131.1155004625323,61.56371432375229,183.7652070732225,0.0495701967458376,5884.533713028404
3747.5360520499494,-13.091912217681232,131.10753793667433,73.34718225249033,188.78704018382484,0.1146199004835853,5890.269288838908
3972.455983654722,-13.144670282215666,131.10614540985267,54.29678407568468,181.47235004716694,-0.1835566522179652,5946.41308913987
4198.210486045089,-13.197097443933767,131.10143963644202,55.46569869261163,184.99426340296924,0.0113428839251324,5904.483703453651
4418.573540249669,-13.240637319516033,131.114618315374,49.68667646824301,163.58333058404344,-0.0574239208283982,5766.124422131725
4644.747202565768,-13.270801055982467,131.15706606329832,56.665094625770095,126.13655503502605,0.0675297527270813,5920.852762164088
4866.060767939815,-13.301169387493232,131.19963492572433,56.30522025312171,126.24675528425627,-0.003485631975182,5915.507669497127
5083.346906192398,-13.349521192088504,131.21405841075966,70.548646409268,163.81514270555067,0.1395210619384269,5849.199971359218
5304.315506328212,-13.382368062410032,131.24958742410763,79.31937039792322,133.54275111498487,0.0848124237425297,5925.135476755473
5521.421880509062,-13.413715654076434,131.29342167057703,73.15441135347226,126.32643864880856,-0.0598035127657263,5906.442439718342
5739.836406280621,-13.456025241314466,131.32461489603466,91.14455285112575,144.35984549214805,0.1753151642790315,5879.445557685385
5963.708268702758,-13.486461156883534,131.36414527896233,97.40619362271825,128.37396327306237,0.0610291889946271,5878.587922735349
6199.73417269482,-13.5242002868832,131.40042227740832,159.6266261897345,136.93806979391047,0.6030442671233563,5911.4011011277025
6428.472081862403,-13.5632748187443,131.43560552984266,124.61696161958425,138.80603610598047,-0.3432394556564886,5843.972751225422
6650.565298697329,-13.574180362385604,131.47606595728502,178.02018075754444,105.50211039471321,0.5354516618114147,5714.222608729351
6878.983041841337,-13.5958029171263,131.51164691437234,189.1916632558433,122.01744855630886,0.1088402344693641,5880.895344049586
7095.546672300601,-13.6270452015639,131.55145126047535,218.7468418776724,128.92825730253742,0.2889851879080083,5859.721221246557
7306.656313069846,-13.625780820538866,131.60289167501432,228.20471282444402,88.55727695375094,0.0921027543705371,5883.5984371114355
7513.135180835907,-13.6427716902025,131.65226217107102,195.64188841571848,109.50637855681873,-0.317925413259667,5868.3363504852805
7722.191328939404,-13.677557123337133,131.68902490689297,193.21592544861306,134.2426307317255,-0.0235995684473752,5889.829372077638
7939.891501020901,-13.723287002446163,131.71169440319937,202.58605343359994,154.28622098904782,0.0904423461877623,5936.028461872512
8158.014158826296,-13.754553037841866,131.75489021684197,195.02244532879263,126.69643053103385,-0.0742572039767058,5835.96683484563
8384.297347183414,-13.787389360783,131.79580599390033,231.5177411514611,129.5713172795023,0.3504579370222999,5966.480208697463
8599.893983918553,-13.820639994169996,131.83416891840238,193.8526089743553,131.75402322021694,-0.3776319820610972,5714.6162459441175
8818.10748259283,-13.864775036558203,131.842134270341,181.49543135317555,170.06163847042706,-0.1206658231762494,5867.552708775349
9037.273637010028,-13.911654442579165,131.86235643803167,150.8964967402307,157.28067946724605,-0.2950704218320246,5941.545413619452
9252.426109523996,-13.951885628518266,131.89781858526268,153.66453572449262,139.45630731253277,0.0267951992570697,5918.8565176201555
9474.021846052492,-13.9969417725751,131.92656559592132,135.423377850119,148.24003146090234,-0.1758779218929745,5942.4063332268815
9690.031024508857,-14.04201397233123,131.95343805316332,136.29954975381264,149.95601422705352,0.0085779513037978,5852.324180517629
9898.73794529312,-14.083236817840298,131.98380401453096,136.43418035241848,144.45586400125563,0.0013297321688584,5800.991562586902
10112.554615063078,-14.131906333236566,131.99715510213366,128.87350491282893,165.10332021357613,-0.0733612896722671,5904.947393419301
10328.295940033726,-14.176472984692968,132.02534409480532,114.84191419083895,148.48220699442493,-0.1372902219141475,5855.8386632124175
